timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610629080009,9491,GET LIST,200,,Load Test 1-72,text,true,,939218,125,100,100,http://localhost:9092/list/read,9474,0,1
1610629081089,8527,Create LIST,201,,Load Test 1-98,text,true,,319,251,100,100,http://localhost:9092/list/create,8527,0,0
1610629080105,9514,GET LIST,200,,Load Test 1-71,text,true,,939218,125,100,100,http://localhost:9092/list/read,9496,0,1
1610629080198,11341,GET LIST,200,,Load Test 1-70,text,true,,939218,125,100,100,http://localhost:9092/list/read,11325,0,1
1610629080320,11442,GET LIST,200,,Load Test 1-69,text,true,,939218,125,100,100,http://localhost:9092/list/read,11424,0,1
1610629080415,11463,GET LIST,200,,Load Test 1-68,text,true,,939218,125,100,100,http://localhost:9092/list/read,11445,0,0
1610629081486,10508,Create LIST,201,,Load Test 1-97,text,true,,319,251,100,100,http://localhost:9092/list/create,10508,0,0
1610629080509,11488,GET LIST,200,,Load Test 1-67,text,true,,939218,125,100,100,http://localhost:9092/list/read,11471,0,1
1610629080619,11633,GET LIST,200,,Load Test 1-66,text,true,,939218,125,100,100,http://localhost:9092/list/read,11591,0,1
1610629080712,11773,GET LIST,200,,Load Test 1-65,text,true,,939218,125,100,100,http://localhost:9092/list/read,11753,0,1
1610629081733,10949,Create LIST,201,,Load Test 1-96,text,true,,319,251,100,100,http://localhost:9092/list/create,10949,0,0
1610629080805,11880,GET LIST,200,,Load Test 1-64,text,true,,939330,125,100,100,http://localhost:9092/list/read,11862,0,1
1610629080900,12071,GET LIST,200,,Load Test 1-63,text,true,,939330,125,100,100,http://localhost:9092/list/read,12053,0,1
1610629080995,12208,GET LIST,200,,Load Test 1-62,text,true,,939330,125,100,100,http://localhost:9092/list/read,12189,0,1
1610629082037,11289,Create LIST,201,,Load Test 1-95,text,true,,319,251,100,100,http://localhost:9092/list/create,11289,0,0
1610629081105,12224,GET LIST,200,,Load Test 1-61,text,true,,939386,125,100,100,http://localhost:9092/list/read,12205,0,1
1610629082176,13080,Create LIST,201,,Load Test 1-94,text,true,,319,251,100,100,http://localhost:9092/list/create,13080,0,0
1610629081195,14064,GET LIST,200,,Load Test 1-60,text,true,,939386,125,100,100,http://localhost:9092/list/read,14044,0,1
1610629081298,14239,GET LIST,200,,Load Test 1-59,text,true,,939386,125,100,100,http://localhost:9092/list/read,14218,0,0
1610629082296,13243,Create LIST,201,,Load Test 1-93,text,true,,319,251,100,100,http://localhost:9092/list/create,13243,0,0
1610629081399,14342,GET LIST,200,,Load Test 1-58,text,true,,939386,125,100,100,http://localhost:9092/list/read,14319,0,1
1610629081495,14325,GET LIST,200,,Load Test 1-57,text,true,,939442,125,100,100,http://localhost:9092/list/read,14309,0,1
1610629082456,13367,Create LIST,201,,Load Test 1-92,text,true,,319,251,100,100,http://localhost:9092/list/create,13367,0,0
1610629082482,13342,Create LIST,201,,Load Test 1-91,text,true,,319,251,100,100,http://localhost:9092/list/create,13342,0,0
